"Start Time","End Time","Activity ID","Activity Name","Description","Location Name","Time Zone","Offset","Duration (h:m:s)","Elapsed Duration (h:m:s)","Moving Duration (h:m:s)","Activity Parent","Activity Type","Event Type","Device","Gear","Privacy","File Format","Distance (km)","Average Speed (km/h)","Average Speed (km/h or min/km)","Average Moving Speed (km/h)","Average Moving Speed (km/h or min/km)","Max. Speed (km/h)","Max. Speed (km/h or min/km)","Elevation Gain (m)","Elevation Loss (m)","Elevation Min. (m)","Elevation Max. (m)","Elevation Corrected","Begin Latitude (°DD)","Begin Longitude (°DD)","End Latitude (°DD)","End Longitude (°DD)","Max. Heart Rate (bpm)","Average Heart Rate (bpm)","Calories","VO2max","Aerobic Training Effect","Anaerobic Training Effect","Avg. Run Cadence","Max. Run Cadence","Stride Length","Steps","Avg. Cadence (rpm)","Max. Cadence (rpm)","Strokes","Avg. Temp (°C)","Min. Temp (°C)","Max. Temp (°C)"
"2025-08-30T10:18:25+08:00","2025-08-30T11:18:17+08:00","20220675149","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:58:52","00:59:52","00:58:32","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","7.21465","7.3547999382019045","7.4","7.3947995351607965","7.4","10.96560001373291","11.0","","","","","false","-31.921550","115.945587","-31.921276","115.942676","146","135","646","","4.1","1.7","","","","","","","2686.0","","",""
"2025-08-27T10:45:01+08:00","2025-08-27T11:55:06+08:00","20190519532","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:10:05","01:10:05","01:09:46","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","8.68261","7.4340002059936525","7.4","7.466391229807125","7.5","11.973599910736084","12.0","","","","","false","-31.921283","115.942524","-31.921026","115.943498","151","135","786","","4.3","","","","","","","","3314.0","","",""
"2025-08-23T10:05:16+08:00","2025-08-23T11:41:31+08:00","20147030382","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:36:15","01:36:15","01:35:59","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","12.03698","7.5024003982543945","7.5","7.52459027331577","7.5","9.845999622344971","9.8","","","","","false","-31.920963","115.943286","-31.921131","115.943894","144","131","981","","4.3","0.1","","","","","","","4417.0","","",""
"2025-08-16T10:25:54+08:00","2025-08-16T11:10:37+08:00","20072404924","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:44:43","00:44:43","00:44:17","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","5.73010","7.689599704742432","7.7","7.764605860740073","7.8","10.375199890136718","10.4","","","","","false","-31.931913","115.918118","-31.931400","115.917970","144","126","466","","3.3","1.2","","","","","","","2060.0","","",""
"2025-08-10T09:00:12+08:00","2025-08-10T11:23:24+08:00","20008074553","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","02:23:12","02:23:12","02:22:04","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","17.56093","7.358399677276611","7.4","7.416759680131378","7.4","13.024800109863284","13.0","","","","","false","-31.930915","115.923401","-31.930898","115.922974","166","145","1664","","5.0","1.5","","","","","","","7420.0","","",""
"2025-08-06T14:46:34+08:00","2025-08-06T16:29:38+08:00","19967244532","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:42:29","01:43:04","01:42:17","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","13.02695","7.624800109863282","7.6","7.64177211177032","7.6","10.404000377655029","10.4","","","","","false","-31.920998","115.942911","-31.920694","115.943041","149","139","1143","","5.0","","","","","","","","4990.0","","",""
"2025-08-06T14:39:49+08:00","2025-08-06T14:41:38+08:00","19966481590","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:00:37","00:01:49","00:00:20","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","0.02729","2.628000068664551","2.6","4.912200164794922","4.9","6.156000137329102","6.2","","","","","false","-31.920810","115.943267","-31.921301","115.942951","107","102","4","","0.1","","","","","","","","22.0","","",""
"2025-08-02T11:10:43+08:00","2025-08-02T12:32:21+08:00","19921970439","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:21:15","01:21:38","01:20:13","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","10.03314","7.408800315856934","7.4","7.504756056266401","7.5","10.299600219726562","10.3","","","","","false","-31.921088","115.943067","-31.920758","115.943009","138","125","774","","3.5","","","","","","","","3892.0","","",""
"2025-07-29T15:43:14+08:00","2025-07-29T16:48:58+08:00","19881694735","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:05:25","01:05:44","01:01:45","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","7.35264","6.742800092697144","6.7","7.144329377483448","7.1","11.566800212860107","11.6","","","","","false","-31.920728","115.943173","-31.921245","115.942989","150","121","573","","3.1","0.5","","","","","","","2644.0","","",""
"2025-07-26T10:02:59+08:00","2025-07-26T11:08:25+08:00","19849745506","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:05:26","01:05:26","01:05:06","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","8.01957","7.3547999382019045","7.4","7.39045904075465","7.4","9.565200233459473","9.6","","","","","false","-31.920594","115.942612","-31.920864","115.943604","139","125","647","","3.4","","","","","","","","3166.0","","",""
"2025-07-25T14:49:56+08:00","2025-07-25T16:11:08+08:00","19842118907","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:21:12","01:21:12","01:20:16","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","10.11391","7.473599910736084","7.5","7.560968150386209","7.6","9.72719964981079","9.7","","","","","false","-31.920861","115.942734","-31.921472","115.943239","142","129","788","","4.0","","","","","","","","3630.0","","",""
"2025-07-21T09:01:45+08:00","2025-07-21T10:22:06+08:00","19797911991","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:19:46","01:20:21","01:19:33","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","10.13849","7.624800109863282","7.6","7.647541465965603","7.6","10.497599601745605","10.5","","","","","false","-31.920623","115.943879","-31.920868","115.943473","138","124","758","","3.4","","","","","","","","3804.0","","",""
"2025-07-15T07:48:15+08:00","2025-07-15T09:09:06+08:00","19735842300","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:20:10","01:20:51","01:19:46","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","10.16023","7.604330496361746","7.6","7.642463369724196","7.6","11.023200130462646","11.0","","","","","false","-31.921236","115.942441","-31.921412","115.942311","136","121","706","","3.3","1.5","","","","","","","3461.0","","",""
"2025-07-13T10:30:31+08:00","2025-07-13T11:00:42+08:00","19715459019","Strength","","","Australia/Perth","+08:00","00:30:11","00:30:11","00:30:11","Gym & Fitness Equipment","Strength Training","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","","","","","","","","","","","","false","","","","","126","87","139","","0.6","0.4","","","","110","","","","","",""
"2025-07-12T10:04:44+08:00","2025-07-12T11:09:40+08:00","19705377633","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:04:56","01:04:56","01:04:11","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","7.52020","6.947999811172486","6.9","7.030796242118334","7.0","11.001599979400636","11.0","","","","","false","-31.920936","115.942776","-31.921258","115.942850","149","128","613","","3.5","0.6","","","","","","","2613.0","","",""
"2025-07-09T08:37:42+08:00","2025-07-09T10:11:01+08:00","19675004276","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:32:26","01:33:19","01:31:17","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","11.44699","7.430399608612061","7.4","7.523568431573591","7.5","10.540799903869628","10.5","","","","","false","-31.921128","115.942735","-31.921333","115.942798","143","125","884","","3.6","","","","","","","","4231.0","","",""
"2025-07-05T10:06:57+08:00","2025-07-05T11:01:19+08:00","19635151084","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:54:02","00:54:22","00:52:33","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","6.37721","7.081200027465822","7.1","7.28214377594928","7.3","11.314799594879153","11.3","","","","","false","-31.941649","115.882720","-31.941492","115.882238","144","126","530","","3.4","0.1","","","","","","","2434.0","","",""
"2025-06-28T15:45:58+08:00","2025-06-28T16:37:37+08:00","19567354262","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:47:02","00:51:39","00:46:32","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","6.00995","7.668000411987305","7.7","7.748586651764696","7.7","11.739599704742432","11.7","","","","","false","-31.921035","115.943031","-31.920664","115.943154","148","133","519","","3.5","0.4","","","","","","","2140.0","","",""
"2025-06-26T16:08:34+08:00","2025-06-26T17:11:43+08:00","19548828424","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:03:09","01:03:09","01:03:06","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","8.01750","7.617599773406982","7.6","7.624592017346206","7.6","11.869199752807617","11.9","","","","","false","-31.920848","115.942857","-31.920950","115.943630","152","131","659","","3.8","0.6","","","","","","","2937.0","","",""
"2025-06-23T09:19:03+08:00","2025-06-23T10:58:04+08:00","19516607478","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","01:36:09","01:39:01","01:35:46","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 22.6.0.0","","private","fit","12.14916","7.581599807739258","7.6","7.612071544196093","7.6","9.287999725341797","9.3","","","","","false","-31.921001","115.943039","-31.920720","115.942623","136","127","872","","3.8","0.1","","","","","","","4343.0","","",""
"2025-06-19T08:41:26+08:00","2025-06-19T09:40:18+08:00","19476757387","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:58:52","00:58:52","00:58:41","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 21.19.0.0","","private","fit","7.15081","7.290000343322754","7.3","7.310709550482393","7.3","9.849600219726563","9.8","","","","","false","-31.923449","115.940078","-31.920775","115.942999","143","131","624","","3.8","","","","","","","","2561.0","","",""
"2025-06-16T09:17:55+08:00","2025-06-16T10:16:43+08:00","19445588777","Perth Stand Up Paddleboarding","","Perth","Australia/Perth","+08:00","00:46:13","00:58:48","00:45:44","Water Sports","Stand Up Paddleboarding","Uncategorized","EPIX Gen2 21.19.0.0","","private","fit","6.03707","7.837200164794922","7.8","7.919358345383009","7.9","9.79919958114624","9.8","","","","","false","-31.920798","115.943360","-31.921126","115.942940","141","129","497","","3.5","","","","","","","","2068.0","","",""
